source_record_id,customer_id,first_name,last_name,email,phone,date_of_birth,loyalty_status,marketing_opt_in,created_at,updated_at
SRC_CUSTOMER_B001_000000001,C0000001,Trevor,Hunter,trevor.hunter.1@retailverse.example,+44 7709813036,1995-07-24,NONE,N,2025-07-27 09:47:43,2025-09-15 09:47:43
SRC_CUSTOMER_B001_000000002,C0000002,Joe,Adams,joe.adams.2@retailverse.example,+44 7855903159,1985-05-14,NONE,Y,2023-04-01 09:11:49,2023-06-02 09:11:49
SRC_CUSTOMER_B001_000000003,C0000003,Patricia,Wilkins,patricia.wilkins.3@retailverse.example,+44 7731423938,1997-02-17,NONE,N,2023-06-25 00:55:15,2023-10-14 00:55:15
SRC_CUSTOMER_B001_000000004,C0000004,Leonard,Wilkinson,leonard.wilkinson.4@retailverse.example,+44 7866372365,1969-12-25,BRONZE,Y,2025-04-07 00:53:00,2025-04-17 00:53:00
SRC_CUSTOMER_B001_000000005,C0000005,Stephanie,Thompson,stephanie.thompson.5@retailverse.example,+44 7797448053,1965-05-21,SILVER,Y,2023-09-03 12:05:32,2023-11-10 12:05:32
SRC_CUSTOMER_B001_000000006,C0000006,Frederick,Clarke,frederick.clarke.6@retailverse.example,+44 7215875263,1967-12-10,NONE,N,2025-05-21 12:31:40,2025-08-14 12:31:40
SRC_CUSTOMER_B001_000000007,C0000007,Louis,Robson,louis.robson.7@retailverse.example,+44 7870631897,1958-06-19,SILVER,Y,2024-11-20 19:16:48,2025-01-10 19:16:48
SRC_CUSTOMER_B001_000000008,C0000008,Wendy,Lane,wendy.lane.8@retailverse.example,+44 7892820233,1998-11-10,NONE,Y,2024-08-06 11:54:46,2024-08-10 11:54:46
SRC_CUSTOMER_B001_000000009,C0000009,Wayne,Smith,wayne.smith.9@retailverse.example,+44 7586989055,1972-04-26,BRONZE,Y,2025-09-11 00:15:10,2025-12-30 00:15:10
SRC_CUSTOMER_B001_000000010,C0000010,John,Sutton,john.sutton.10@retailverse.example,+44 7679859561,1990-08-29,BRONZE,Y,2025-08-26 20:35:24,2025-09-06 20:35:24
SRC_CUSTOMER_B001_000000011,C0000011,Mathew,Adams,mathew.adams.11@retailverse.example,+44 7080051345,1947-02-02,BRONZE,N,2025-01-08 07:23:12,2025-02-11 07:23:12
