source_record_id,address_id,customer_id,address_type,address_line_1,address_line_2,city,state_region,postal_code,country_code,is_primary,created_at,updated_at
SRC_ADDRESS_B002_000000001,A00006136,C0004763,HOME,458 Victoria Road,,Sheffield,Merseyside,LS37 2AB,GB,Y,2024-05-03 08:41:15,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000002,A00021028,C0016432,HOME,37 The Crescent,,Manchester,Greater Manchester,LS14 3AB,GB,Y,2025-09-08 21:25:55,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000003,A00045290,C0035389,HOME,157 Park Avenue,,Manchester,South Yorkshire,LS59 3AB,GB,Y,2025-12-09 19:03:42,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000004,A00002356,C0001835,HOME,447 King Street,,Leeds,Nottinghamshire,LS86 5AB,GB,Y,2025-02-05 19:07:51,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000005,A00031653,C0024734,HOME,189 Park Avenue,,Bristol,Greater Manchester,LS07 8AB,GB,Y,2025-04-17 03:52:06,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000006,A00040596,C0031705,HOME,155 Victoria Road,,Sheffield,Greater Manchester,LS50 2AB,GB,Y,2025-03-07 06:08:50,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000007,A00030902,C0024145,HOME,438 High Street,,Leeds,Scotland,LS92 4AB,GB,Y,2026-02-06 18:06:16,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000008,A00031990,C0025013,HOME,63 Green Lane,,Bristol,Nottinghamshire,LS48 4AB,GB,Y,2023-08-07 09:50:54,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000009,A00014664,C0011434,SHIPPING,52 Park Avenue,,Bristol,Bristol,LS91 3AB,GB,N,2023-07-14 18:34:23,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000010,A00059363,C0046385,HOME,12 High Street,,Leeds,Bristol,LS14 4AB,GB,Y,2023-07-12 08:40:42,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000011,A00042815,C0033452,HOME,88 Market Street,,Bristol,Greater Manchester,LS31 8AB,GB,Y,2023-06-18 16:48:00,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000012,A00005103,C0003964,HOME,30 The Crescent,,Bristol,Bristol,LS81 2AB,GB,Y,2024-05-08 09:52:53,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000013,A00031830,C0024881,HOME,449 Church Lane,,Sheffield,West Midlands,LS47 8AB,GB,Y,2024-07-21 14:21:50,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000014,A00054519,C0042598,HOME,49 Green Lane,Flat 36,Manchester,Scotland,LS12 7AB,GB,Y,2025-07-03 20:55:42,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000015,A00029034,C0022683,HOME,87 High Street,,Sheffield,Wales,LS09 4AB,GB,Y,2025-06-22 15:52:24,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000016,A00041157,C0032151,HOME,13 Church Lane,,Bristol,Merseyside,LS48 8AB,GB,Y,2026-01-04 05:30:30,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000017,A00038637,C0030186,HOME,309 Market Street,,Leeds,Merseyside,LS97 2AB,GB,Y,2023-08-28 05:08:50,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000018,A00053682,C0041947,HOME,51 Green Lane,,Bristol,North Yorkshire,LS19 3AB,GB,Y,2023-02-19 18:05:26,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000019,A00046120,C0036035,HOME,247 Market Street,,Bristol,Nottinghamshire,LS55 3AB,GB,Y,2023-07-23 22:07:39,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000020,A00026865,C0020999,HOME,408 Victoria Road,,Bristol,Nottinghamshire,LS78 6AB,GB,Y,2026-02-26 19:30:13,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000021,A00004897,C0003801,HOME,223 Mill Lane,,Leeds,North Yorkshire,LS57 1AB,GB,Y,2024-05-11 22:27:23,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000022,A00040256,C0031455,HOME,105 Church Lane,,York,Bristol,LS06 7AB,GB,Y,2024-11-09 17:05:38,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000023,A00012906,C0010059,HOME,61 Victoria Road,,York,South Yorkshire,LS27 1AB,GB,Y,2026-06-20 06:40:22,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000024,A00006899,C0005362,SHIPPING,375 Park Avenue,,Sheffield,West Midlands,LS73 7AB,GB,N,2025-11-07 16:55:09,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000025,A00046446,C0036285,HOME,358 Station Road,,Manchester,Greater London,LS41 5AB,GB,Y,2026-04-13 20:50:05,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000026,A00054012,C0042203,HOME,461 The Crescent,,Sheffield,West Midlands,LS94 4AB,GB,Y,2023-06-17 12:10:42,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000027,A00058235,C0045484,HOME,84 Green Lane,,Bristol,Wales,LS54 5AB,GB,Y,2024-11-16 03:20:15,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000028,A00005464,C0004253,HOME,462 The Crescent,,Leeds,West Midlands,LS08 3AB,GB,Y,2024-02-06 12:42:20,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000029,A00016584,C0012930,SHIPPING,264 Green Lane,,Leeds,Wales,LS79 7AB,GB,N,2024-01-14 14:18:17,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000030,A00055604,C0043437,HOME,428 Market Street,,Sheffield,Scotland,LS58 8AB,GB,Y,2025-01-02 10:04:58,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000031,A00003877,C0003015,HOME,129 High Street,,Sheffield,West Midlands,LS67 1AB,GB,Y,2025-11-10 17:04:10,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000032,A00043518,C0033999,SHIPPING,341 Mill Lane,,Bristol,Greater Manchester,LS30 4AB,GB,N,2023-08-16 00:50:28,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000033,A00043476,C0033966,HOME,487 Victoria Road,,Sheffield,South Yorkshire,LS90 2AB,GB,Y,2024-08-17 20:02:26,2026-09-01 00:00:00
SRC_ADDRESS_B002_000000034,A00036151,C0028258,SHIPPING,226 Bridge Street,Flat 21,Sheffield,South Yorkshire,LS81 4AB,GB,N,2025-04-26 10:25:23,2026-09-01 00:00:00
